EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4378.46,4539.49,4207.18,4668.21,4353.85,4089.74,4365.64,4216.92,4909.74,4420.00,4472.82,4743.59,4411.28,4617.44
4378.46,4540.00,4210.26,4668.21,4350.26,4089.23,4363.59,4213.33,4902.56,4409.74,4478.46,4736.92,4410.77,4609.74
4377.44,4538.97,4212.31,4665.64,4358.46,4088.72,4359.49,4210.26,4892.31,4417.95,4476.92,4737.95,4410.77,4605.13
4377.95,4540.51,4206.15,4670.77,4351.79,4084.10,4356.92,4213.85,4896.92,4438.46,4473.85,4741.54,4411.79,4608.72
4371.79,4534.36,4200.51,4666.15,4341.54,4081.54,4360.00,4214.36,4902.56,4441.03,4471.28,4736.92,4406.15,4603.08
4366.67,4528.72,4204.10,4659.49,4347.18,4086.67,4368.21,4211.79,4897.44,4417.95,4472.31,4730.77,4401.03,4596.92
4370.26,4533.33,4205.64,4662.05,4362.05,4093.85,4377.44,4213.33,4901.54,4416.41,4473.85,4733.85,4405.64,4601.03
4376.41,4539.49,4203.08,4663.59,4364.62,4096.92,4384.10,4216.92,4918.97,4458.46,4472.82,4735.38,4414.36,4605.13
4378.97,4541.03,4207.69,4663.59,4359.49,4098.46,4381.54,4216.92,4925.64,4471.79,4479.49,4733.85,4425.13,4610.77
4377.44,4540.51,4208.72,4664.10,4363.59,4096.92,4374.36,4220.51,4924.62,4439.49,4493.85,4742.56,4432.31,4617.44
4378.97,4540.51,4203.59,4662.56,4366.15,4092.82,4370.77,4236.41,4935.38,4450.77,4497.95,4751.79,4430.77,4616.92
4383.59,4539.49,4203.59,4665.13,4357.95,4089.74,4369.74,4247.69,4940.51,4484.10,4491.79,4751.28,4429.23,4614.87
4383.59,4540.51,4204.10,4665.64,4355.38,4088.72,4366.67,4242.05,4928.72,4461.54,4490.26,4749.23,4430.26,4617.44
4381.54,4536.41,4201.54,4663.08,4357.95,4087.18,4365.13,4234.36,4916.92,4436.41,4490.77,4750.26,4425.13,4617.44
4378.46,4526.67,4202.56,4661.03,4351.79,4081.03,4367.69,4227.69,4910.26,4451.28,4483.59,4753.33,4417.44,4609.74
4372.82,4523.08,4198.97,4652.82,4352.82,4074.87,4365.64,4213.85,4896.92,4446.67,4474.87,4749.74,4412.31,4604.62
4371.28,4523.59,4189.23,4647.18,4353.33,4074.87,4357.44,4199.49,4883.59,4409.74,4473.33,4740.00,4406.15,4603.08
4372.31,4524.62,4185.64,4655.38,4337.95,4073.85,4354.36,4189.74,4876.92,4396.92,4472.31,4733.33,4400.00,4594.87
4365.13,4522.56,4182.56,4659.49,4330.26,4073.85,4357.44,4182.05,4871.79,4409.74,4462.05,4728.72,4391.79,4583.59
4354.87,4513.33,4170.26,4647.18,4347.18,4083.08,4362.56,4181.54,4871.79,4408.21,4445.64,4715.90,4382.56,4578.97
4352.82,4506.67,4163.59,4637.95,4361.54,4091.28,4363.08,4188.21,4880.00,4404.62,4445.13,4705.64,4383.08,4576.92
4367.69,4520.51,4172.31,4647.18,4357.95,4090.26,4357.44,4194.87,4894.36,4428.21,4463.59,4714.87,4405.13,4584.62
4383.59,4539.49,4184.62,4662.05,4358.46,4087.18,4354.36,4206.67,4907.18,4460.00,4475.90,4731.28,4429.23,4609.74
4384.62,4541.03,4198.46,4665.13,4362.56,4086.15,4355.90,4221.54,4913.85,4462.05,4483.59,4736.41,4433.33,4623.59
4382.56,4538.97,4215.38,4664.62,4349.74,4080.00,4353.85,4225.64,4916.41,4447.18,4490.77,4734.36,4428.21,4613.33
4382.56,4536.92,4189.74,4665.64,4340.00,4070.26,4349.74,4223.08,4911.28,4434.87,4483.08,4732.82,4424.62,4603.08
4377.44,4526.67,4178.46,4654.36,4350.77,4065.13,4350.26,4217.44,4893.33,4421.54,4473.33,4731.79,4420.00,4602.56
4371.79,4521.03,4211.79,4644.10,4352.31,4067.18,4353.33,4208.21,4881.03,4421.54,4476.92,4731.79,4415.90,4602.56
4375.38,4524.62,4038.97,4653.33,4343.08,4070.77,4357.44,4201.03,4883.59,4442.56,4476.41,4734.36,4416.41,4603.59
4377.95,4520.51,3659.49,4655.38,4344.10,4073.85,4357.95,4195.38,4882.56,4447.69,4463.59,4732.82,4411.79,4601.03
4376.41,4512.82,3473.85,4647.69,4337.44,4075.90,4356.92,4184.10,4870.26,4418.46,4453.85,4729.74,4401.03,4595.38
4379.49,4516.92,3536.41,4655.90,4318.97,4074.36,4358.46,4183.59,4871.28,4409.23,4460.00,4731.79,4398.97,4596.41
4381.54,4523.59,3557.44,4663.59,4328.72,4077.44,4364.62,4196.92,4887.18,4428.72,4475.90,4734.87,4408.21,4603.59
4375.90,4520.51,3522.05,4651.79,4351.28,4082.05,4365.13,4204.10,4893.85,4425.64,4477.95,4735.38,4414.87,4603.59
4369.74,4516.41,3542.56,4646.15,4349.23,4081.03,4357.95,4206.15,4898.97,4427.69,4466.67,4735.38,4409.23,4598.46
4374.36,4519.49,3566.15,4655.90,4336.92,4081.03,4357.95,4218.46,4910.26,4457.44,4469.74,4734.87,4411.79,4600.00
4380.00,4520.00,3571.79,4658.46,4335.38,4083.59,4366.15,4229.74,4912.82,4464.10,4480.51,4734.87,4424.10,4604.10
4379.49,4516.92,3577.44,4653.33,4338.97,4083.08,4369.23,4227.69,4907.69,4457.44,4480.00,4736.41,4421.54,4602.56
4380.00,4519.49,3584.10,4654.36,4338.97,4082.56,4370.26,4218.46,4901.54,4452.82,4474.36,4736.41,4412.31,4603.59
4382.05,4522.56,3591.79,4658.46,4341.54,4083.08,4371.28,4204.62,4887.69,4421.54,4474.87,4735.38,4411.79,4605.13
4380.51,4517.95,3594.36,4653.85,4350.77,4077.95,4362.56,4189.74,4873.33,4415.38,4473.85,4735.38,4409.74,4602.05
4381.54,4520.00,3601.03,4654.87,4352.31,4073.33,4352.82,4182.56,4874.87,4457.95,4470.26,4734.87,4403.59,4602.56
4386.15,4530.26,3612.31,4668.72,4341.54,4074.36,4359.49,4180.51,4876.41,4465.64,4470.26,4734.36,4403.59,4607.18
4380.00,4523.59,3619.49,4669.23,4343.59,4072.82,4364.10,4167.69,4864.62,4435.90,4464.62,4733.33,4399.49,4604.10
4370.77,4507.18,3619.49,4654.87,4350.77,4067.18,4360.00,4154.36,4855.38,4418.97,4456.41,4731.28,4387.18,4598.46
4373.85,4510.77,3621.54,4657.95,4342.56,4068.72,4365.64,4161.03,4862.05,4412.31,4463.59,4733.33,4385.64,4598.97
4375.38,4519.49,3625.13,4668.72,4335.90,4078.97,4376.41,4176.41,4873.33,4421.54,4468.72,4736.41,4385.64,4594.36
4366.67,4510.77,3621.03,4655.90,4343.08,4078.97,4374.87,4188.21,4876.92,4434.36,4457.95,4728.21,4373.85,4584.10
4361.54,4501.03,3621.54,4642.05,4349.74,4075.38,4370.77,4204.10,4884.10,4423.08,4459.49,4723.59,4370.26,4581.54
4365.64,4506.15,3635.38,4651.28,4351.28,4084.62,4372.31,4219.49,4901.03,4432.31,4476.92,4732.31,4386.15,4593.33
4368.21,4509.23,3640.00,4658.97,4352.31,4091.28,4372.31,4223.08,4910.77,4465.13,4482.05,4733.85,4401.03,4601.03
4367.69,4505.13,3636.41,4650.26,4354.87,4081.03,4372.31,4225.13,4908.21,4464.10,4474.36,4725.64,4396.41,4597.44
4372.31,4505.13,3648.21,4648.21,4349.74,4072.31,4369.23,4230.77,4909.23,4457.44,4473.85,4728.21,4391.79,4596.41
